tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
6/9/2010,54,20,36.0,45,25,54,PM10,SEDANG,JAKARTA
6/10/2010,79,23,46.0,34,24,79,PM10,SEDANG,JAKARTA
6/11/2010,60,21,33.0,27,14,60,PM10,SEDANG,JAKARTA
6/12/2010,64,20,39.0,23,13,64,PM10,SEDANG,JAKARTA
6/13/2010,59,15,64.0,29,15,64,CO,SEDANG,JAKARTA
6/14/2010,55,22,31.0,29,14,55,PM10,SEDANG,JAKARTA
6/15/2010,57,20,34.0,31,20,57,PM10,SEDANG,JAKARTA
6/16/2010,55,17,71.0,27,38,71,CO,SEDANG,JAKARTA
6/17/2010,75,21,71.0,30,29,75,PM10,SEDANG,JAKARTA
6/18/2010,74,21,50.0,74,29,74,PM10,SEDANG,JAKARTA
6/19/2010,59,14,37.0,71,26,71,O3,SEDANG,JAKARTA
6/20/2010,49,15,23.0,28,9,49,PM10,BAIK,JAKARTA
6/21/2010,51,18,31.0,28,13,51,PM10,SEDANG,JAKARTA
6/22/2010,58,17,36.0,41,21,58,PM10,SEDANG,JAKARTA
6/23/2010,64,17,32.0,41,23,64,PM10,SEDANG,JAKARTA
6/24/2010,0,0,30.0,0,0,30,CO,BAIK,JAKARTA
6/25/2010,28,9,30.0,22,11,30,CO,BAIK,JAKARTA
6/26/2010,56,19,30.0,44,22,56,PM10,SEDANG,JAKARTA
6/27/2010,69,18,46.0,55,25,69,PM10,SEDANG,JAKARTA
6/28/2010,60,15,40.0,36,19,60,PM10,SEDANG,JAKARTA
6/29/2010,65,17,34.0,33,14,65,PM10,SEDANG,JAKARTA
6/30/2010,50,17,29.0,22,12,50,PM10,BAIK,JAKARTA
7/1/2010,55,21,25.0,27,12,55,PM10,SEDANG,JAKARTA
7/2/2010,62,22,37.0,66,19,66,O3,SEDANG,JAKARTA
7/3/2010,64,15,34.0,76,20,76,O3,SEDANG,JAKARTA
7/4/2010,56,13,46.0,51,23,56,PM10,SEDANG,JAKARTA
